Tab;SIGNAL NAME;TEST_VALERE;"PORT ADDRESS 
(in decimal)";"OFFSET 
(number of bits, in decimal)";SIZE ;"TYPE 
(integer, float, boolean)";"Signed/
Unsigned";Sender;Receiver;Description;Type;Test 6 mai 2021;Fait;Configuration V1;Type de message V1;Fréquence pour logger;Testé via;Valeur en permanence sur MVB;Valeurs furtives sur MVB
APS;APS_IPerInformFltPres;;0xE21;24;1;BOOL;Boolean1;riom4;orgmpu;"Presence of a least one information failure ; 1 = Information failure.";;;;A ajouter;;;;;
APS;APS_IPerMinorFltPres;;0xE21;25;1;BOOL;Boolean1;riom4;orgmpu;"Presence of a least one minor failure ; 1 = Minor failure.";;;;A ajouter;;;;;
APS;APS_IPerMajorFltPres;;0xE21;26;1;BOOL;Boolean1;riom4;orgmpu;"Presence of a least one major failure ; 1 = Major failure.";;;;A ajouter;;;;;
APS;APS_IPerCriticalFltPres;;0xE21;27;1;BOOL;Boolean1;riom4;orgmpu;"Presence of a least one critical failure ; 1 = Critical failure.";;;;A ajouter;;;;;
APS;APS_IPerAutoTestRes;;0xE21;28;1;BOOL;Boolean1;riom4;orgmpu;"Result of Autotest ; 1 = Autotest OK.";;;;A étudier;;;;;
APS;APS_IPerAutoTestDone;;0xE21;29;1;BOOL;Boolean1;riom4;orgmpu;"Autotest is finished ; 1 = Autotest finished.";;;;A étudier;;;;;
APS;APS_IPerAutoTestInProg;;0xE21;30;1;BOOL;Boolean1;riom4;orgmpu;"Autotest is in progress ; 1= Autotest in progress.";;;;A étudier;;;;;
APS;APS_IPerDevOper;;0xE21;31;1;BOOL;Boolean1;riom4;orgmpu;Device is operational;;;;A étudier;;;;;
APS;APS_IPerLdShedComp;;0xE21;32;1;BOOL;Boolean1;riom4;orgmpu;Load Shedding complementary ( 1 = load shedding complementary);;;;A étudier;;;;;
APS;APS_IPerNoFedBackTracInhib;;0xE21;33;1;BOOL;Boolean1;riom4;orgmpu;"No feed back of status ""Traction Inhibited"" from APS";;;;A étudier;;;;;
APS;APS_IPerEqpInMaintc;;0xE21;34;1;BOOL;Boolean1;riom4;orgmpu;"Device is in Maintenance state ; 1 = Maintenance state.";;;;A ajouter;;;;;
APS;APS_IPerReducPowrTest;;0xE21;35;1;BOOL;Boolean1;riom4;orgmpu;"Device is in Reduce Power Test state ; 1 = Reduce Power Test state.";;;;A ajouter;;;;;
APS;APS_IPerOffLoadTest;;0xE21;36;1;BOOL;Boolean1;riom4;orgmpu;"Device is in OffLoadTest state ; 1 = OffLoadTest state.";;;;A étudier;;;;;
APS;APS_IPerEqpIsReady;;0xE21;37;1;BOOL;Boolean1;riom4;orgmpu;"Device is ready ; 1 = Device is ready.";;;;A ajouter;;;;;
APS;APS_IPerEqpInFault;;0xE21;38;1;BOOL;Boolean1;riom4;orgmpu;"Device is in faulty state ; 1 = Default state.";;;;A ajouter;;;;;
APS;APS_IPerMediumOK;;0xE21;39;1;BOOL;Boolean1;riom4;orgmpu;"State of HPTS network   ; 1 = State RS485 OK.";;;;A étudier;;;;;
APS;APS_IPerModeISOL_C;;0xE21;40;1;BOOL;Boolean1;riom4;orgmpu;"Info Mode Isolated ; Blinking Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerModeISOL_F;;0xE21;41;1;BOOL;Boolean1;riom4;orgmpu;"Info Mode Isolated ; 1 = Fixed Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerModeBAT_C;;0xE21;42;1;BOOL;Boolean1;riom4;orgmpu;"Info Mode Battery ; Blinking Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerModeBAT_F;;0xE21;43;1;BOOL;Boolean1;riom4;orgmpu;"Info Mode Battery ; 1 = Fixed Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerModeAPS_C;;0xE21;44;1;BOOL;Boolean1;riom4;orgmpu;"Info Mode APS ; Blinking Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerModeAPS_F;;0xE21;45;1;BOOL;Boolean1;riom4;orgmpu;"Info Mode APS ; 1 = Fixed Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerModeLAC_C;;0xE21;46;1;BOOL;Boolean1;riom4;orgmpu;"Info Mode LAC ; Blinking Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerModeLAC_F;;0xE21;47;1;BOOL;Boolean1;riom4;orgmpu;"Info Mode LAC ; 1 = Fixed Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerInfoVFB2_F;;0xE21;48;1;BOOL;Boolean1;riom4;orgmpu;"Info shoegear 2 low ; 1 = Fixed Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerInfoVFB1_F;;0xE21;49;1;BOOL;Boolean1;riom4;orgmpu;"Info shoegear 1 low ; 1 = Fixed Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerInfoVFB2_C;;0xE21;50;1;BOOL;Boolean1;riom4;orgmpu;"Info shoegear 2 low ; Blinking Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerInfoVFB1_C;;0xE21;51;1;BOOL;Boolean1;riom4;orgmpu;"Info shoegear 1 low ; Blinking Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerInfoVFH2_F;;0xE21;52;1;BOOL;Boolean1;riom4;orgmpu;"Info shoegear 2 high ; 1 = Fixed Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerInfoVFH1_F;;0xE21;53;1;BOOL;Boolean1;riom4;orgmpu;"Info shoegear 1 high ; 1 = Fixed Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerInfoVFH2_C;;0xE21;54;1;BOOL;Boolean1;riom4;orgmpu;"Info shoegear 2 high ; Blinking Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerInfoVFH1_C;;0xE21;55;1;BOOL;Boolean1;riom4;orgmpu;"Info shoegear 1 high ; Blinking Indicator light.";;;;A ajouter;;;;;
APS;APS_IPerTorqReduce;;0xE21;56;1;BOOL;Boolean1;riom4;orgmpu;"Reduce traction control ; 1 = Reduce traction";;;;A ajouter;;;;;
APS;APS_IPerLoadShedding;;0xE21;57;1;BOOL;Boolean1;riom4;orgmpu;"Load shedding control ; 1 = Load shedding.";;;;A étudier;;;;;
APS;APS_IPerEndday;;0xE21;58;1;BOOL;Boolean1;riom4;orgmpu;"Train is in End day ; 1 = End day.";;;;A ajouter;;;;;
APS;APS_IPerTowPushMode;;0xE21;59;1;BOOL;Boolean1;riom4;orgmpu;"Train is Towing pushing mode ; 1 = Towing pushing mode.";;;;A ajouter;;;;;
APS;APS_IPerEndRoundTrip;;0xE21;60;1;BOOL;Boolean1;riom4;orgmpu;"Train is in End round trip ; 1 = End round trip.";;;;A ajouter;;;;;
APS;APS_IPerReturnDepot;;0xE21;61;1;BOOL;Boolean1;riom4;orgmpu;"Motrice Run alone ; 1 = Return Depot";;;;A ajouter;;;;;
APS;APS_IPerSpare65;;0xE21;62;1;BOOL;Boolean1;riom4;orgmpu;Spare;;;;N;NA;;;;
APS;APS_IPerSpare64;;0xE21;63;1;BOOL;Boolean1;riom4;orgmpu;Spare;;;;N;NA;;;;
APS;APS_IPerSpare72;;0xE21;64;8;BYTE;Unsigned8;riom4;orgmpu;Spare;;;;N;NA;;;;
APS;APS_IPerSpare80;;0xE21;72;8;BYTE;Unsigned8;riom4;orgmpu;Spare;;;;N;NA;;;;
APS;APS_IPerSpare88;;0xE21;80;8;BYTE;Unsigned8;riom4;orgmpu;Spare;;;;N;NA;;;;
APS;APS_IPerSpare96;;0xE21;88;8;BYTE;Unsigned8;riom4;orgmpu;Spare;;;;N;NA;;;;
APS;APS_IPerSpare104;;0xE21;96;8;BYTE;Unsigned8;riom4;orgmpu;Spare;;;;N;NA;;;;
APS;APS_IPerSpare112;;0xE21;104;8;BYTE;Unsigned8;riom4;orgmpu;Spare;;;;N;NA;;;;
APS;APS_IPerSpare120;;0xE21;112;8;BYTE;Unsigned8;riom4;orgmpu;Spare;;;;N;NA;;;;
TMR;TMR_RIOM_COMMAND;;0xE00;0;8;BYTE;Unsigned8;orgmpu;riom6;Command :;;;;A étudier;;;;;
TMR;TMR_CPerTCMSAlive;;0xE00;8;8;BYTE;Unsigned8;orgmpu;riom6;TCMS application heartbeat;;;;A étudier;;;;;
TMR;TMR_CPerDemCmd;;0xE00;16;8;BYTE;Unsigned8;orgmpu;riom6;0x00 : State request without error counter0x42 : State request with error counter0x43 : State request with software version;;;;A étudier;;;;;
TMR;TMR_CPerSizeDemCmd;;0xE00;24;8;BYTE;Unsigned8;orgmpu;riom6;0x06Size of the command / response area;;;;A étudier;;;;;
TMR;TMR_CPerLSBStpNbr;;0xE00;32;8;BYTE;Unsigned8;orgmpu;riom6;0x00;;;;A étudier;;;;;
TMR;TMR_CPerMSBStpNbr;;0xE00;40;8;BYTE;Unsigned8;orgmpu;riom6;0x00;;;;A étudier;;;;;
TMR;TMR_CWheelDiam1;;0xE00;48;8;BYTE;Unsigned8;orgmpu;riom6;0x00 (450mm) to 0xFF (705mm);;;;A étudier;;;;;
TMR;TMR_CWheelDiam2;;0xE00;56;8;BYTE;Unsigned8;orgmpu;riom6;0x00 (450mm) to 0xFF (705mm);;;;A étudier;;;;;
TMR;TMR_CSetWheelDiam;;0xE00;64;8;BYTE;Unsigned8;orgmpu;riom6;Take the diameter values into account.The bit 0 is set during 5s in case of new wheel diametersThe wheel diameters must be recorded by the tachometer in case of power off.The tachometer must load his previous wheel diameters at start up.;;;;A étudier;;;;;
TMR;TMR_CPerSpr1;;0xE00;72;8;BYTE;Unsigned8;orgmpu;riom6;0x00Spare;;;;N;NA;;;;
TMR;TMR_RIOM_STATUS;;0xE01;0;8;BYTE;Unsigned8;riom6;orgmpu;Status :;;;;A étudier;;;;;
TMR;TMR_IPerDevIsAlive;;0xE01;8;8;BYTE;Unsigned8;riom6;orgmpu;Application heartbeat counter;;;;A étudier;;;;;
TMR;TMR_IPerEqmtState;;0xE01;16;8;BYTE;Unsigned8;riom6;orgmpu;State of the KWR6;;;;A étudier;;;;;
TMR;TMR_IPerDemCmd;;0xE01;24;8;BYTE;Unsigned8;riom6;orgmpu;0x00 DEM|CMD|…;;;;A étudier;;;;;
TMR;TMR_IPerSizeDemCmd;;0xE01;32;8;BYTE;Unsigned8;riom6;orgmpu;0x0FSize of the command / response area;;;;A étudier;;;;;
TMR;TMR_IPerStatus;;0xE01;40;8;BYTE;Unsigned8;riom6;orgmpu;Status;;;;A étudier;;;;;
TMR;TMR_IPerByte0;;0xE01;48;8;BYTE;Unsigned8;riom6;orgmpu;0x00Filling up;;;;A étudier;;;;;
TMR;TMR_IPerByte1;;0xE01;56;8;BYTE;Unsigned8;riom6;orgmpu;0x00Filling up;;;;A étudier;;;;;
TMR;TMR_IPerByte2;;0xE01;64;8;BYTE;Unsigned8;riom6;orgmpu;0x00Filling up;;;;A étudier;;;;;
TMR;TMR_IPerByte3;;0xE01;72;8;BYTE;Unsigned8;riom6;orgmpu;0x00Filling up;;;;A étudier;;;;;
TMR;TMR_IPerByte4;;0xE01;80;8;BYTE;Unsigned8;riom6;orgmpu;0x00Filling up;;;;A étudier;;;;;
TMR;TMR_IPerByte5;;0xE01;88;8;BYTE;Unsigned8;riom6;orgmpu;0x00Filling up;;;;A étudier;;;;;
TMR;TMR_IPerByte6;;0xE01;96;8;BYTE;Unsigned8;riom6;orgmpu;0x00Filling up;;;;A étudier;;;;;
TMR;TMR_IPerByte7;;0xE01;104;8;BYTE;Unsigned8;riom6;orgmpu;0x00Filling up;;;;A étudier;;;;;
TMR;TMR_IPerByte8;;0xE01;112;8;BYTE;Unsigned8;riom6;orgmpu;0x00Filling up;;;;A étudier;;;;;
TMR;TMR_IPerByte9;;0xE01;120;8;BYTE;Unsigned8;riom6;orgmpu;0x00Filling up;;;;A étudier;;;;;
TMR;TMR_IPerByte10;;0xE01;128;8;BYTE;Unsigned8;riom6;orgmpu;0x00Spare;;;;N;NA;;;;
TMR;TMR_IPerByte11;;0xE01;136;8;BYTE;Unsigned8;riom6;orgmpu;0x00Spare;;;;N;NA;;;;
TMR;TMR_IPerByte12;;0xE01;144;8;BYTE;Unsigned8;riom6;orgmpu;0x00Spare;;;;N;NA;;;;
TMR;TMR_IPerByte13;;0xE01;152;8;BYTE;Unsigned8;riom6;orgmpu;0x00Spare;;;;N;NA;;;;
DDU;DD_CIOS0;;0x120;0;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS0;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS1;;0x120;1;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS1;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS2;;0x120;2;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS2;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS3;;0x120;3;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS3;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS4;;0x120;4;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS4;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS5;;0x120;5;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS5;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS6;;0x120;6;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS6;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS7;;0x120;7;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS7;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS8;;0x120;8;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS8;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS9;;0x120;9;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS9;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS10;;0x120;10;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS10;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS11;;0x120;11;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS11;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS12;;0x120;12;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS12;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS13;;0x120;13;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS13;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS14;;0x120;14;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS14;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS15;;0x120;15;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS15;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS16;;0x120;16;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS16;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS17;;0x120;17;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS17;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS18;;0x120;18;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS18;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS19;;0x120;19;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS19;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS20;;0x120;20;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS20;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS21;;0x120;21;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS21;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS22;;0x120;22;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS22;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS23;;0x120;23;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS23;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS24;;0x120;24;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS24;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS25;;0x120;25;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS25;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS26;;0x120;26;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS26;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS27;;0x120;27;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS27;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS28;;0x120;28;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS28;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS29;;0x120;29;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS29;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS30;;0x120;30;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS30;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS31;;0x120;31;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS31;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS32;;0x120;32;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS32;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS33;;0x120;33;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS33;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS34;;0x120;34;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS34;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS35;;0x120;35;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS35;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS36;;0x120;36;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS36;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS37;;0x120;37;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS37;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS38;;0x120;38;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS38;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS39;;0x120;39;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS39;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS40;;0x120;40;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS40;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS41;;0x120;41;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS41;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS42;;0x120;42;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS42;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS43;;0x120;43;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS43;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS44;;0x120;44;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS44;Alarme;Y;X;Y;mre_alert;;;Y;
DDU;DD_CIOS45;;0x120;45;1;BOOL;BOOLEAN1;orgmpu;orgdd11,orgdd21,orgdd12,orgdd22,orggtw;IOS45;Alarme;Y;X;Y;mre_alert;;;Y;
